symbol,name
IBIT,iShares Bitcoin Trust ETF
FBTC,Fidelity Wise Origin Bitcoin Fund
VXUS,Vanguard Total International Stock ETF
IXUS,iShares Core MSCI Total International Stock ETF
RSP,Invesco S&P 500 Equal Weight ETF
VTV,Vanguard Value ETF
VUG,Vanguard Growth ETF
QQQM,Invesco NASDAQ 100 ETF
EFA,iShares MSCI EAFE ETF
VGK,Vanguard FTSE Europe ETF
EWJ,iShares MSCI Japan ETF
ICLN,iShares Global Clean Energy ETF
URA,Global X Uranium ETF
VGT,Vanguard Information Technology ETF
ITOT,iShares Core S&P Total US Stock Market ETF
SCHX,Schwab US Large-Cap ETF
SCHB,Schwab US Broad Market ETF
SCHF,Schwab International Equity ETF
VYM,Vanguard High Dividend Yield ETF
DVY,iShares Select Dividend ETF
MTUM,iShares MSCI USA Momentum Factor ETF
QUAL,iShares MSCI USA Quality Factor ETF
XBI,SPDR S&P Biotech ETF
KWEB,KraneShares CSI China Internet ETF
TIP,iShares TIPS Bond ETF
MBB,iShares MBS ETF
MUB,iShares National Muni Bond ETF
ETHA,iShares Ethereum Trust ETF
JEPI,JPMorgan Equity Premium Income ETF
JEPQ,JPMorgan NASDAQ Equity Premium Income ETF
CIBR,First Trust NASDAQ Cybersecurity ETF
BOTZ,Global X Robotics & Artificial Intelligence ETF
SCHH,Schwab US REIT ETF
