symbol,name,sector
PKN.WA,ORLEN,Energy
PZU.WA,PZU SA,Financials
PEO.WA,Bank Pekao SA,Financials
KGH.WA,KGHM Polska Miedz SA,Materials
CDR.WA,CD Projekt SA,Communication Services
DNP.WA,Dino Polska SA,Consumer Staples
ALE.WA,Allegro.eu SA,Consumer Discretionary
LPP.WA,LPP SA,Consumer Discretionary
KRU.WA,Kruk SA,Financials
SPL.WA,Santander Bank Polska SA,Financials
GPW.WA,Warsaw Stock Exchange,Financials
ALR.WA,Alior Bank SA,Financials
OPL.WA,Orange Polska SA,Communication Services
MBK.WA,mBank SA,Financials
PGE.WA,PGE Polska Grupa Energetyczna SA,Utilities
ING.WA,ING Bank Slaski SA,Financials
JSW.WA,Jastrzebska Spolka Weglowa SA,Materials
KTY.WA,Grupa Kety SA,Industrials
ZAB.WA,Zabka Group SA,Consumer Staples
PEP.WA,Pepco Group NV,Consumer Discretionary
